 1   1   1    0.18950E-03
 1   1   2    0.18950E-03
 1   1   3    0.18950E-03
 1   1   4    0.18950E-03
 1   1   5    0.18950E-03
 1   1   6    0.18950E-03
 1   1   7    0.18950E-03
 1   1   8    0.18950E-03
 1   1   9    0.18950E-03
 1   1  10    0.18950E-03
 1   1  11    0.18950E-03
 1   1  12    0.18950E-03
 1   1  13    0.18950E-03
 1   1  14    0.18950E-03
 1   1  15    0.18950E-03
 1   1  16    0.18950E-03
 1   1  17    0.18950E-03
 1   1  18    0.18950E-03
 1   1  19    0.18950E-03
 1   1  20    0.18950E-03
 1   1  21    0.18950E-03
 1   1  22    0.18950E-03
 1   1  23    0.18950E-03
 1   1  24    0.18950E-03
 1   1  25    0.18950E-03
 1   1  26    0.18950E-03
 1   1  27    0.18950E-03
 1   1  28    0.18950E-03
 1   1  29    0.18950E-03
 1   1  30    0.18950E-03
 1   1  31    0.18950E-03
 1   1  32    0.18950E-03
 1   1  33    0.18950E-03
 1   1  34    0.18950E-03
 1   1  35    0.18950E-03
 1   1  36    0.18950E-03
 1   1  37    0.18950E-03
 1   1  38    0.18950E-03
 1   1  39    0.18950E-03
 1   1  40    0.18950E-03
 1   1  41    0.18950E-03
 1   1  42    0.00000E+00
